017_04_21_031_21|わかりました……士道
019_02_91_082_21|士道。　話があります
019_02_91_083_21|少し気になることができましたので、しばらく教室を離れます
019_02_91_084_21|はい、ありがとうございます。　それでは……
019_02_92_009_21|すみません、岡峰先生。　聞きたいことがあるのですが
019_02_92_012_21|先程の箇所ですが、間違いがあるのではないでしょうか？
019_02_92_015_21|やはり、そうなのですか？　質問には間違いを指摘するものもあると聞いて実践したのですが、　なかなか反応を得られませんでした
019_02_92_025_21|五河琴里？　どうしましたか
019_02_92_029_21|士道。　少し気になることができました。　しばらく教室を離れます
019_02_92_043_21|……士道、これは？
019_02_92_044_21|なるほど。そうですか……。　これは、どうすればいいのですか？
019_02_92_045_21|わかりました。　少し待っていてください
019_02_92_050_21|士道、いいですか？
019_02_92_051_21|少し気になることができました。　しばらく教室を離れます
019_02_92_064_21|士道……わたしは、どうすればいいんでしょう？
019_02_92_070_21|士道、少し気になることができました。　しばらく教室を離れます
021_04_01_013_21|見つかってしまいました
021_04_01_014_21|……はい。　気になることがありました
021_04_01_015_21|それよりも……士道が探しに来てくれて、嬉しいです
021_04_01_016_21|やはり、予想通りの反応です
021_04_01_017_21|こうすれば、士道が探しに来てくれると思いました。　ゲームでは、こうすることでドキッとするものなのでしょう？　士道のそういう反応が、見たかったのです
021_04_01_019_21|わかりました
021_04_01_021_21|士道……？
021_04_02_017_21|見つかってしまいました
021_04_02_018_21|……はい。　気になることがありました
021_04_02_019_21|それよりも……士道が探しに来てくれて、嬉しいです
021_04_02_020_21|やはり、予想通りの反応です
021_04_02_021_21|こうすれば、士道が探しに来てくれると思いました。　ゲームでは、こうすることでドキッとするものなのでしょう？　士道のそういう反応が、見たかったのです
021_04_02_023_21|はい、士道
021_04_03_014_21|五河士道。　見つかってしまいました
021_04_03_015_21|……はい。　気になることがありました
021_04_03_016_21|それよりも……士道が探しに来てくれて、嬉しいです
021_04_03_017_21|やはり、予想通りの反応です
021_04_03_018_21|こうすれば、士道が探しに来てくれると思いました。　ゲームでは、こうすることでドキッとするものなのでしょう？　士道のそういう反応が、見たかったのです
021_04_03_022_21|はい、わかりました
021_04_03_023_21|士道……？
021_04_04_015_21|士道？　見つかってしまいました
021_04_04_016_21|……はい。　気になることがありました
021_04_04_017_21|それよりも……士道が探しに来てくれて、嬉しいです
021_04_04_019_21|やはり、予想通りの反応です
021_04_04_020_21|こうすれば、士道が探しに来てくれると思いました。　ゲームでは、こうすることでドキッとするものなのでしょう？　士道のそういう反応が、見たかったのです
021_04_04_022_21|はい、もう十分です
021_04_05_015_21|士道……？　見つかってしまいました
021_04_05_016_21|……はい。　気になることがありました
021_04_05_017_21|それよりも……士道が探しに来てくれて、嬉しいです
021_04_05_018_21|やはり、予想通りの反応です
021_04_05_019_21|こうすれば、士道が探しに来てくれると思いました。　ゲームでは、こうすることでドキッとするものなのでしょう？　士道のそういう反応が、見たかったのです
021_04_05_022_21|はい、わかりました
021_04_05_023_21|はい
021_04_24_016_21|見つかってしまいました
021_04_24_017_21|……はい。　気になることがありました
021_04_24_018_21|それよりも……士道が探しに来てくれて、嬉しいです
021_04_24_019_21|やはり、予想通りの反応です
021_04_24_020_21|こうすれば、士道が探しに来てくれると思いました。　ゲームでは、こうすることでドキッとするものなのでしょう？　士道のそういう反応が、見たかったのです
021_04_24_022_21|……士道は、　わたしに何も感じなかったということですか？
021_04_24_025_21|はい、わかりました
021_04_24_028_21|士道……？
021_04_50_022_21|……見つかってしまいました
021_04_50_023_21|……はい。　気になることがありました
021_04_50_024_21|それよりも……士道が探しに来てくれて、嬉しいです
021_04_50_025_21|やはり、予想通りの反応です
021_04_50_026_21|こうすれば、士道が探しに来てくれると思いました。　ゲームでは、こうすることでドキッとするものなのでしょう？　士道のそういう反応が、見たかったのです
021_04_50_031_21|士道、では早く帰りましょう
022_01_00_001_21|おはようございます、士道
022_01_00_008_21|ありがとう……ございます
022_01_00_010_21|はい、わかりました。　今持ってきます
022_01_00_015_21|どうぞ、夜刀神十香。おかわりです
022_01_00_017_21|チーズトーストというそうです。　ピザトーストから具材を抜いただけのようにも思えますが、　チーズトーストには、独自の良さがあると言われています
022_01_00_024_21|はい。士道が行なうより、調理時間は長くなってしまいました。　夜刀神十香が大量に食べることを考慮した結果、　分配基準もよくわかりませんでした。経験がまだ足りません
022_01_00_025_21|ありがとう……士道
022_01_00_026_21|わたしは、レシピを再現しただけです。　そんなに褒められると、なんだか……照れてしまいます
022_01_00_027_21|あ…………
022_01_00_028_21|……撫でて、もらいました
022_01_00_039_21|……撫でられることは、愛ですか？
022_01_00_040_21|……なんだか、損をした気がします
022_01_00_041_21|撫でてもらっていたのは、わたしです。　なのに、中途半端になってしまいました
022_01_00_042_21|士道の……馬鹿
022_01_00_043_21|…………なんでもありません
023_02_00_035_21|はい、士道。　とても……興味深いです。　歌というのも、実際に聞くのは違うものですね
023_02_00_036_21|はい。わたしは大丈夫です。　それより、五河士道が誰かと歌っているのが聞きたいです
023_02_00_037_21|はい。誰かとともに歌うことをデュエットと言うそうですね。　デュエットもシチュエーションとして最適ではないでしょうか
023_02_00_118_21|はい、貴重な体験でした。　……この結果を元に、新たなデータを収集できるはずです
023_02_00_119_21|もう少しで、わかりそうな気がするんです。　だから、わたしに見せてください
024_03_00_004_21|五河士道。あなたに、決めて欲しいことがあります
024_03_00_005_21|士道はわたしに愛を教えてくれています
024_03_00_006_21|はい。そうすることで、様々な情報を知ることができました。　ですが、わたしは――まだ、愛がわかりません
024_03_00_007_21|だから――士道に、選んで欲しいです
024_03_00_008_21|ここに来てくれたみなさんは、五河士道に好意を抱いている。　それは、間違いないことです
024_03_00_009_21|五河士道の側にいたい、　自分のものにしたい……それが、愛ですか？
024_03_00_010_21|わたしも、そう考えます。　けれど、この世界には結実した愛がありません。　だから……わたしはその先を知ることができない
024_03_00_011_21|だから……選んでください。　愛を誓った相手を――
024_03_00_012_21|そして……見せてください。　わたしに、未来を……愛が、深く結びつくところを
024_03_00_013_21|ありえたかもしれない、　ありうるかもしれない、　五河士道と彼女たちの――行く末を
608_10_21_001_21|……わたしは、愛を見てきました。　たくさんの、愛のカタチを
608_10_21_002_21|夜刀神十香の愛。四糸乃の愛。時崎狂三の愛。　五河琴里の愛。鳶一折紙の愛。八舞耶倶矢と夕弦の愛。　誘宵美九の愛……それぞれの、未来までを
608_10_21_003_21|愛とは……なんなのか。　それを理解できる材料は揃ってきました
608_10_21_004_21|収集したデータを解析……。　結論は……
608_10_21_005_21|――解析失敗。　再度、実行――失敗……
608_10_21_006_21|……まだ、わたしに愛は解析できていない。　そういうことになるのでしょうか。　既にデータは十分に集まっているはずなのですが……
608_10_21_007_21|愛とは何か……。　それをわたしは士道と彼女たちの行った、　いくつものデートで知り得たはず……
608_10_21_008_21|士道の紡ぐ、愛……彼女たちとの、デート。　不思議です。五河士道のことを考えると、　ノイズが走る……
608_10_21_009_21|……！　これが勘というものでしょうか。　……そうです。こんな簡単なことを、まだしていない。　[わたし自身がデート*・・・・・・・・・]を体験していない
608_10_21_010_21|恐らく、真の意味で愛を理解するのには、　そうする必要があるのではないかと予測します。　……その先で、わかるかもしれません。愛とは、なんなのかが
608_10_21_011_21|わたしの中で時折現れるノイズのような感覚。　その正体が、愛だとするならば……きっと、何かがわかるはず
608_10_21_012_21|もう一度……始めましょう。　今度は、わたし自身と士道のデートを。　――愛を、知るために
608_11_21_001_21|わたしはどうしても、知りたいことがあります
608_11_21_002_21|五河士道。あなたと一緒なら、答えを見つけられる。　そう信じているからこそ、わたしは問います
608_11_21_003_21|あなたは……わたしを愛してくれますか？
608_11_21_004_21|願わくば、これが最後になりますように――
608_11_21_005_21|そうですか……。　それならば、もう少し続けるしかありませんね。　愛の観察を――
608_12_21_002_21|…………
608_12_21_004_21|はい
608_12_21_005_21|あの時点で、世界のリスタートを行ないました。　現在が朝なのは、初期設定のスタート時間によるものです
608_12_21_008_21|士道を観察するためです。　なるべく近くで愛の形成・育成を確認できます
608_12_21_011_21|はい、わたしがそうお願いしました
608_12_21_013_21|わたしが用意したものです。　今、食卓に並べますので、お待ちください
608_12_21_014_21|はい。士道は座っていてください
608_12_21_015_21|これまでのデータがありますので、　間違いなく調理は上達しています。　士道が作るものと比べても遜色のない出来のはずです
608_12_21_018_21|データベースによれば　五河家の一般的な食事メニューの一つです
608_12_21_019_21|はい。……あの、問題がありましたか？
608_12_21_021_21|いえ……士道たちの朝の行動を予測して　行ったまでですから
608_12_21_022_21|いただきます
608_12_21_024_21|士道の調理法を元に正確に調理を行っているため、　味も再現されているはずです
608_12_21_025_21|実際に作った経験はほとんどないので、　正確な再現が可能か確実性に欠けていたのですが……
608_12_21_026_21|いえ、士道の料理がおいしいからです。　わたしは同じことをしただけですから
608_12_21_036_21|そのことですが、士道
608_12_21_037_21|はい。全て片付けておきました。　それで、今後のことですが……士道
608_12_21_038_21|……わたしと、デートしてもらえないでしょうか？
608_12_21_039_21|確かに愛を育む様を観察すれば、外側から見た情報は得ることが　できるかもしれません。ですが、実際に体験してみなければ　わからないことも多いと考えます
608_12_21_041_21|この世界において、デートの相手としてふさわしいのは……　士道。あなたしかいません
608_12_21_044_21|はい。そうすることで愛というものに対して、　有意義なデータが得られると期待しています
608_12_21_045_21|はい。ありがとうございます。　わたしも強制はしたくありませんので、　士道の意思で決めてください
608_12_21_047_21|はい。わたしは転校生として設定されています
608_12_21_048_21|はい。その方が状況の構築には有意義ですので
608_12_21_054_21|騒ぎを起こすつもりは毛頭ありませんが……　よろしくお願いします
608_12_21_056_21|はい。その認識で間違っていません。　わたしは愛について知るために、みなさんを見ています。　できるだけ近くで、みなさんと一緒に過ごしたいと考えます
608_12_21_061_21|士道のクラスです
608_12_21_068_21|確かにこの人数で歩くのは、常識的には問題のある行動かも　しれませんね
608_12_21_070_21|はい……それは、そうなのですが……
608_12_21_073_21|はい。わたしもここで、いろいろなことを実際に体験したいと　考えています
608_12_21_075_21|お茶？　お店で語り合う……　その認識で間違っていませんでしょうか
608_12_21_080_21|士道……わたしも一度職員室に行きます。　転校生ですから
608_12_21_081_21|楽しみ？
608_12_21_082_21|あ……はい……その、それでは……
608_13_21_002_21|或守鞠亜です。よろしくお願いします
608_13_21_004_21|どこから……？　それは士道の家からです
608_13_21_006_21|何を言っているかわかりませんが、そのままの意味です。　士道の家で朝食を食べて、一緒に登校してきました
608_13_21_008_21|なるほど。質問を字義通り解釈してはいけない例でしたか。　ですが、わたしを印象付けるには正解だったようです
608_13_21_012_21|…………ふむ
608_13_21_013_21|……士道の言うとおりです。両親の仕事の都合がつくまで……　という条件で、士道の家でお世話になっています。　わたしの両親と、士道の両親が知り合いですので
608_13_21_016_21|士道。これで正解だったでしょうか
608_13_21_017_21|虚偽の発言をするのは少し気が引けたのですが、　士道のためですから
608_13_21_018_21|人が困っていれば、助けるもの。　士道の行動原理は違うのですか？
608_13_21_019_21|貸し、一つです
608_13_21_021_21|教師相手には敬語を使うべきではないですか？
608_13_21_022_21|はい。このまま話しているにも限度がありますね
608_13_21_023_21|はい
608_13_21_025_21|わたしなら大丈夫です、殿町宏人。　心配してくれるなら、この学校のことを教えてください
608_13_21_027_21|はい
608_13_21_029_21|そうですか。ありがとうございます
608_14_21_005_21|…………
608_14_21_007_21|設問に回答する前に、質問があります
608_14_21_009_21|教科書の文法が記述として乱文になっています。　また、意図的に内容を隠している部分も多く、　これでは正確な知識を得ることができないのではないでしょうか
608_14_21_012_21|……？　ああ、そうでしたね
608_14_21_013_21|先生、すみません。ここは授業に関係ない点でした。　それ自体を問題にするのは、間違っていました。　わたし自身、もっと勉学に励みます
608_14_21_015_21|ありがとうございます。以後、気をつけます
608_14_21_016_21|…………ふふ
608_15_21_004_21|残念ながら、わたしが作ったのは朝食のみです。　お弁当は用意していません
608_15_21_005_21|お弁当がないなら、提案があります。　今日は購買へいってみてはいかがでしょうか
608_15_21_011_21|いえ。その必要はありません
608_15_21_023_21|購買のパンを購入しました。　この、うさぎの形をしたパンが面白いです
608_15_21_025_21|この赤い眼の部分、変わっていますね
608_15_21_027_21|なるほど。ミザクラの果実ですね
608_15_21_028_21|なんでしょうか
608_15_21_029_21|わたしたちが困らない程度に……ですが
608_15_21_030_21|はい。そうしないと、お昼を逃してしまいます
608_15_21_031_21|普段通りには違いないと思いますが
608_15_21_032_21|結果的に困っている人はいません。　これはオールオーケーというものではないでしょうか
608_15_21_035_21|それでいいのです
608_15_21_036_21|でも、よしということにしておこうと先程……
608_15_21_037_21|はい。そのつもりです
608_15_21_038_21|士道、これで学校は終わりですよね？
608_15_21_039_21|いえ、とても興味深い一日でした。　でも……足りません
608_15_21_040_21|――愛です
608_15_21_041_21|愛を知るためには、もう一歩踏み込む必要があるのでは　ないでしょうか
608_15_21_042_21|士道、わたしにあなたの選択を教えてください。　そして、見せてくれませんか？
608_15_21_043_21|二人で特別な時間を過ごせば……　士道とその相手は、同じように惹かれ合うのでしょうか
608_15_21_044_21|ですが、それはわたしでも……いいのでしょうか
608_15_21_045_21|選んでください、士道。　あなたはわたしに愛を教えてくれますか？
608_16_21_001_21|……はい。約束を果たしてくれるということでしょうか
608_16_21_002_21|貸しを作ったかいがありました
608_16_21_003_21|秘密、です
608_16_21_004_21|わたしが感情を出すのは、おかしいでしょうか？
608_16_21_005_21|そ、そうでしょうか……なんだか、恥ずかしいです
608_16_21_006_21|行きたいところ、ですか？
608_16_21_007_21|わたしは街をゆっくり見て回ってみたいです。　駄目でしょうか？
608_16_21_008_21|はい。それが、いいんです
608_16_21_009_21|いえ。ちゃんと歩いたことがないので、新鮮です
608_16_21_010_21|情報としては理解しています。　でも実際に歩いてみると、少し違う印象を受けます
608_16_21_011_21|はい。建物は大きく見えるし、通りはとても賑やかです
608_16_21_012_21|士道の世界はもっと賑やかなんですね
608_16_21_013_21|なるほど……わたしも実際に体験してみたいです
608_16_21_018_21|むぅ……
608_16_21_020_21|……士道、いきましょう
608_16_21_022_21|士道。わたしはただの知り合いですか？
608_16_21_023_21|士道はわたしをデートに誘いました。　それでも、ただの知り合いと言えますか？
608_16_21_024_21|……それで、とりあえず納得しましょう。　ですが、今はわたしと士道のデート中です。　妹とはいえ、他の女の子に目移りするのは感心しない行動です
608_16_21_025_21|……駄目です
608_16_21_026_21|士道はもう少し、女の子のことを理解するべきです
608_16_21_027_21|はぁ……
608_16_21_028_21|……絶対、ですよ？
608_16_21_029_21|……いつまでも言っていては仕方ありませんから、　許してあげましょう。でも、そのかわり……
608_16_21_030_21|もっともっと……いろいろなことを教えてくださいね、士道
608_16_21_031_21|嫉妬ではありません。　士道の不誠実を指摘しているのです
608_16_21_032_21|駄目です。どうしてもと言うなら……
608_16_21_033_21|もっともっと……いろいろなことを教えてください
608_16_21_034_21|では、デートの続きをしましょう
608_16_21_035_21|士道
608_16_21_036_21|クラスメートがいます
608_16_21_037_21|士道に関する、あらぬ噂が立つのは確定的です
608_16_21_038_21|わかりました。　では、わたしは一足先にこの場を離れます
608_16_21_039_21|その方が確実ですから。いいですか？
608_16_21_040_21|いえ、大丈夫です。では、士道。さようなら
608_17_21_009_21|はい。どうかしましたか？
608_17_21_010_21|わたしは真っ直ぐここに戻ってきましたが
608_17_21_011_21|はい。　士道、質問の意図が不明ですが？
608_17_21_014_21|……士道、なにか考えているように見えます
608_17_21_015_21|わかりました
608_18_21_001_21|大丈夫です……星を、見たかったので
608_18_21_002_21|どうして、そうだと……？
608_18_21_003_21|……違い、ません。　理由は、それだけではないのですが
608_18_21_004_21|はい
608_18_21_005_21|家族……ですか？
608_18_21_006_21|姉妹、ですか？　……いえ、わたしにそんな記憶はありません。　記録にも残っていません
608_18_21_007_21|構いません。ですが、今日のデートで士道のいうことを　聞いたかわりに、約束してください
608_18_21_008_21|明日もわたしをデートに誘ってくれますか？
608_18_21_009_21|はい。約束、ですよ？
608_20_21_001_21|ん……
608_20_21_002_21|ん……
608_20_21_003_21|あ……
608_20_21_004_21|おはようございます、士道
608_20_21_005_21|はい、戻りましたが
608_20_21_006_21|デートをする関係……すなわち彼氏彼女の関係というものは、　日常的に同じベッドで過ごすものと記録されています。　今の士道とわたしの関係性を考えれば至極当然のことです
608_20_21_007_21|いえ、そんなことはありません。　士道は過去に同様の経験があるはずですから
608_20_21_008_21|どうかしましたか、士道？
608_20_21_009_21|はい。ですから、隣にお邪魔させていただきました
608_20_21_010_21|非常に魅力的な夜でした……
608_20_21_011_21|冗談です
608_20_21_012_21|わかりました。　士道がそう望むのなら、残念ですが諦めることにします
608_20_21_013_21|もちろんです。これも信頼を深める……　ひいては愛を知るために必要な行為ですから
608_20_21_014_21|これは法に触れるようなことではないはずです。　問題ありません。仮に現実世界で違法だったとしても、　それを咎める法はこの世界には存在しません。させません
608_20_21_020_21|士道。わたしたちも行きましょう
608_20_21_030_21|士道。片付けが終わりました
608_20_21_031_21|何か問題がありますか？　これは居候という立場では行ってしかるべきことです
608_20_21_032_21|しかし、そうした方が伴侶への道は近いという話を聞きました。　キッチンを制するものが、士道を制すると
608_20_21_033_21|鳶一折紙です
608_20_21_035_21|では士道、学校へ行く準備をしてください
608_20_21_036_21|いつもの時間に家を出ると、また昨日のように　大人数で登校することになります
608_20_21_037_21|恋人らしい行動を体験できるいい機会だと考えます。　時間は早いですが、多少寄り道するか、遠回りして調整すれば、　普段の登校時間と変わらない時間に到着できます
608_20_21_041_21|はい。わたしは玄関で待っています
608_21_21_001_21|ふふ……
608_21_21_002_21|はい。なんでもないことですが、とても心地良いです。　朝の空気、木々の囀り、たまに通りすぎる人影。　不思議に気持ちが昂ぶるような……そんな感覚です
608_21_21_003_21|はい。道案内してくださいね、士道
608_21_21_004_21|見てください、士道。猫です
608_21_21_005_21|あの奥にも、もう一匹見えましたよ？
608_21_21_006_21|上を見てください、士道。　あの鳥を見てるようです
608_21_21_007_21|そうなのでしょうか。　でも、わたしにとって全て新鮮な光景です
608_21_21_008_21|はい。とても有意義な体験です。　大人数で歩いていては、ゆっくり景色を見る余裕もないですから
608_21_21_009_21|……士道？　どうしました？
608_21_21_010_21|おかしいでしょうか？
608_21_21_011_21|……本当ですか？
608_21_21_012_21|なるほど。そういうものなのですね
608_21_21_013_21|確かに、実際に自分で歩いてみると、ただ観測するだけでは　得られないものを感じることができました。　それに気付くことができたのは、士道のおかげです
608_21_21_014_21|士道が傍にいると……知らないことがたくさんあるのだと、　逆に教えられてしまいます。知っていたはずのことでさえ、　見方が変われば、こんなにも違う
608_21_21_015_21|わたし自身の……こと？
608_21_21_016_21|……そういう考え方も、あるのですね
608_21_21_017_21|世界が、変わる？
608_21_21_018_21|詩的な表現ですね。わたしにはうまく理解できません
608_21_21_019_21|はい。とても興味深い――いえ
608_21_21_020_21|――楽しい。楽しいと感じています。　誰かと話をして、自分のことを伝え、相手のことを知る。　それは、わたしを確かに心躍らせます
608_21_21_021_21|はい。わたしはもっと知っていきたいです。　いつか、愛を理解するために
608_21_21_022_21|はい。ありがとうございます。　わたしは、この世界で知らなければいけないことが　まだまだあります。だから、逃がしませんよ？
608_21_21_023_21|では士道、もう少し寄り道をしたいのですが、　付き合ってもらえるでしょうか
608_21_21_024_21|公園です。少し、興味があることがあります
608_21_21_025_21|ありがとうございます。では行きましょう、士道
608_21_21_026_21|少しだけ、休憩しませんか？
608_21_21_027_21|朝の時間に座ってみたかったんです
608_21_21_028_21|はい。それだけです
608_21_21_029_21|はい
608_21_21_030_21|風が、心地良いです……
608_21_21_031_21|士道は座らないのですか
608_21_21_032_21|……どうしました、士道？
608_21_21_033_21|そうですね。そろそろ学校へ向かいましょう
608_21_21_034_21|はい、なんでしょう？
608_21_21_035_21|……はい
608_21_21_036_21|はい。遅刻しなくてよかったです。　下手をすれば、士道の身に危険が及ぶところでした
608_21_21_037_21|いえ、そうではなく。　夜刀神十香たちに遅刻の理由を聞かれたら、と考えた結果です
608_21_21_038_21|デート……ではありませんか？　こうやって朝の時間を二人で過ごすのも、　デートだと認識しているのですが
608_22_21_010_21|…………
608_22_21_021_21|……士道、お茶をどうぞ
608_22_21_022_21|どういたしまして
608_22_21_028_21|わたしは士道のことを考えて行動しているだけです
608_22_21_030_21|みなさんが集まれば、こうなることは明白でした。　誰か一人を贔屓できない士道ですから
608_22_21_034_21|はい、それは間違いありません。　わたしは今朝も一緒に登校したのもそうですが、　朝、目覚めたときも一緒でしたので
608_22_21_037_21|そもそも先程のみなさんは自分の欲求ばかり優先して、　士道のことを考えていません。そこも気遣うべきかと
608_22_21_041_21|わたしはそう言われていませんので
608_23_21_001_21|はい、います
608_23_21_002_21|それにしても、なぜわざわざ校舎裏に？
608_23_21_003_21|……それはそうかもしれませんが、　それなら最初から外で待ち合せればいいのでは？
608_23_21_004_21|なるほど。確かにそうかもしれません
608_23_21_005_21|はい。今日もデートしてくれるということですね
608_23_21_006_21|はい。楽しみです
608_23_21_007_21|……いろいろな物が並んでいます
608_23_21_008_21|……どれも興味深いです。　これはなんですか？
608_23_21_009_21|基本的に紙製や布製だと記憶していましたが、　金属製のものもあるんですね
608_23_21_010_21|……士道、ならこっちは紙製のコースターでしょうか？
608_23_21_011_21|めんこ……ですか。確か遊具でしたね。　コースターとしても使えそうですが。コップの下に敷くものでは　ないのですか？
608_23_21_012_21|不思議です。確かに定められた用途は違いますが、　機能的には同様のものではありませんか？
608_23_21_013_21|似た箇所があれば、他のものでの代用も可能。　単純ですが、凄いことですね
608_23_21_014_21|……今は、やめておきます
608_23_21_015_21|いえ……わたしは買い物というものをしたことがないので　突然買うとなるとどれを買うべきか判断がつきません
608_23_21_016_21|はい
608_23_21_017_21|他の方たちと？　なぜでしょうか
608_23_21_018_21|……そうですね。経験してみたいです
608_23_21_019_21|はい、約束です
608_23_21_021_21|洋服屋、ですね。服を買うんですか？
608_23_21_022_21|とても興味深いです
608_23_21_026_21|何を話していたんですか？
608_23_21_027_21|兄妹、ですか？
608_23_21_028_21|いえ。なんでもありません。　行きましょう、士道
608_23_21_029_21|映画……今からですか？
608_23_21_030_21|わかりました
608_23_21_031_21|はい……でも、すごい迫力でした
608_23_21_032_21|はい……あの、士道
608_23_21_033_21|腕を組んでもいいですか？
608_23_21_034_21|はい。ありがとうございます
608_23_21_035_21|いえ、別にそういうわけではないのですが
608_23_21_036_21|……これでも、まだ兄妹に見えるでしょうか？
608_23_21_037_21|男性と女性が、腕を組んでいました
608_23_21_038_21|士道。今わたしたち、どんなふうに見えますか？
608_23_21_039_21|手を……繋ぐ……
608_23_21_040_21|嫌なんてあるわけありません。むしろ嬉しいです。　でも、これは……
608_23_21_041_21|妹が兄に連れられているみたいに、　見えるのではないでしょうか？
608_23_21_042_21|そういうわけではないのですが……　デートしているのですから、ちゃんと恋人に見られたいです
608_23_21_043_21|そう……でしょうか。　他人に認められて、初めて関係は成立するといえるのでは？
608_23_21_044_21|なるほど……士道は意外と冷たいんですね
608_23_21_045_21|いえ、冷たいです。氷のようです。　きっと心身共に冷血漢なのです
608_23_21_046_21|あ……
608_23_21_047_21|……はい。あったかい、です
608_23_21_048_21|そうですね……もし夕食をとるなら、　調べていたお店があります――
608_23_21_049_21|駅前にあるお店のフルコースが　カップルに人気だということです
608_23_21_050_21|ふふっ
608_23_21_051_21|今のは、冗談です、士道
608_23_21_052_21|ふふっ。ごめんなさい。　なぜだか士道を困らせてしまいたくなりました
608_23_21_053_21|そうですか？
608_23_21_054_21|そうですね……
608_23_21_055_21|どこか落ち着けるところで、休憩しませんか？
608_23_21_056_21|……？　どういう意味ですか？
608_23_21_057_21|……？
608_23_21_058_21|はい。では、行きましょう
608_23_21_059_21|あの……士道。今日は楽しかったです
608_23_21_060_21|ええ、そうですね。綺麗な空です。　わたしもそう感じます
608_23_21_061_21|士道はやはり、現実の世界に戻りたいですか？
608_23_21_062_21|……そうですよね
608_23_21_063_21|士道……そろそろ帰りましょう
